Zonal office,Company,Incident date,Contaminant,Estimated quantity,Quantity recovered,Type of facility,Cause,FID,Site location name,Latitude,Longitude,LGA,Spill area habitat,States affected,TYPE_1
wa,NPDC,1/8/2021,cr,1000,,other:illegal bunkery activies,sab,35,ILLEGAL BUNKERY POINT @ OPUAMA.,5.9579564,5.0536333,Warri-North,"sw,ss",DE,State
wa,NDWEST,12/2/2020,cr,100,,other:Around 10'' Deliveryline,sab,36,AROUND 10'' DELIVERY LINE AT KM 8 UGHEVWUGHE,5.4954722,5.91575,Ughelli-South,"ss,sw",DE,State
Ph,SPDC,11/18/2020,cr,105,48,pl,sab,37,14'' Okordia-Rumuekpe Trunkline right of way at Edeoha Rivers state,5.0236811,6.6223581,Ahoada-East,la,"BY,RI",State
by,NAOC,11/8/2020,cr,297.08,295.05,tf,ome,38,DEHYDRATION UNIT,4.2988333,6.2478417,Brass,sw,BY,State
wa,Midwestern,11/7/2020,cr,130,57,pl,sab,39,MWOG/UPIL 12'' PIPELINE AT USHIE.,5.6516667,6.2963889,Ndokwa-West,la,DE,State
ph,Eroton E&P,9/17/2020,cr,139,,pl,sab,40,"ALAKIRI 6"" DELIVERY LINE AT NKEMKIRI",4.6141111,7.0684444,Bonny,"ss,iw,sw",RI,State
ph,Eroton E&P,8/31/2020,cr,479,360,DELIVERY LINE,sab,41,"6"" DELIVERY LINE AMABA- BIE, ALAKIRI",4.6398333,7.0693333,Okrika,sw,RI,State
ph,SPDC,8/22/2020,cr,205,-,pl,sab,42,"20"" KOLO CREEK - RUMUEKPE TRUNKLINE RIGHT OF WAY, IHUOWO, AHAODA EAST LOCAL GOVERNMENT AREA, RIVERS STATE",4.97499,6.663612,Ahoada-East,la,RI,State
ph,Eroton E&P,8/18/2020,cr,162.31,9,pl,sab,43,"6'' DELLIVERY LINE AT ALAKIRI, AMBA_BIA COMMUNITY.",4.6389444,7.0689722,Bonny,ss,RI,State
ph,Eroton E&P,8/18/2020,cr,162.31,9,pl,sab,44,"6'' Delivery Line @ Alakiri, Amba- Bie community. Point A& B",4.6389444,7.0689722,Bonny,sw,RI,State
ph,SPDC,8/12/2020,cr,272,,pl,sab,45,"14"" OKORDIA-RUMUEKPE T/l AT ULA-IKATA, AHODA WEST L.G.A. R/S",5.049,6.58525,Ahoada-West,ss,RI,State
ph,SPDC,8/1/2020,cr,390,,pl,sab,46,"14” Okordia-Rumuekpe Pipeline @ Edeoha Community, Ahoada East LGA, Rivers State",5.0272222,6.6161944,Ahoada-East,ss,RI,State
wa,NDWEST,7/21/2020,cr,780,585,other:delivery line,sab,47,10'' UTOROGU - UPS DELIVERY LINE AT OTOR - EDO,5.4779444,5.9038611,Ughelli-South,"la,ss",DE,State
ph,Eroton E&P,7/18/2020,cr,333,112,fl,sab,48,"CAWTHORNE CHANNEL 2 WELL 47s , 4'' FLOW LINE RoW AT OKOMAKIRI COMMUNITY.",4.5593889,7.0106667,Degema,sw,RI,State
wa,Heritage,7/16/2020,cr,160,150,pl,sab,49,24'' UPS - RAPELE LINE AT EKAKPAMRE,5.5257778,5.9188333,Ughelli-North,la,DE,State
ph,SPDC,7/7/2020,cr,258,175,pl,sab,50,"28"" NKPOKU-BOMU TRANS NIGER PIPELINE RIGHT OF WAY AT RUMUEWHARA",4.8791111,7.3589722,Ukwa-East,la,RI,State
ph,SPDC,7/6/2020,cr,186,125,pl,sab,51,"18"" Assa-Rumuekpe Pipeline at Egbeda",5.24082,6.77024,Emuoha,la,RI,State
ph,Eroton E&P,6/20/2020,cr,108.11,72,fl,eqf,52,Cawthorne channel 1 Akaso well 9s@ Captain kiri community.,4.5384444,7.0381667,Degema,sw,RI,State
ph,SPDC,6/17/2020,cr,411,244,pl,sab,53,20'' KOLOCREEK-RUMUEKPE PIPELINE,4.92841,6.437964,Ogbia,la,RI,State
ph,Eroton E&P,5/18/2020,cr,134.43,69.47,fl,sab,54,"Cawthorne Channel 2 Well 47L , Okomabio, Community.",4.5595833,7.0108333,Degema,la,RI,State
ph,SPDC,4/11/2020,cr,127,63,pl,sab,55,"Old&New 20"" Kolocreek/Rumuekpe T/L@Odau",4.9289167,6.4408889,Abua-Odual,"la,ss",RI,State
ph,SPDC,4/10/2020,cr,186,110,pl,sab,56,"Old and new 20"" KoloCreek/Rumuekpe T/Line@ Odau",4.9298056,6.4466389,Abua-Odual,"la,ss",RI,State
ph,SPDC,4/7/2020,cr,100,90,pl,sab,57,"old 20"" KoloCreek/Rumuekpe T/L@Odau",4.9283333,6.4371944,Ogbia,"la,ss",RI,State
ph,SPDC,4/4/2020,cr,284,47,pl,sab,58,20'' Rumuekpe- Nkpoku Trunk Line Row @ Ibaa,4.9543056,6.8153611,Emuoha,la,RI,State
ph,SPDC,4/3/2020,cr,459.92,150,pl,sab,59,"12"" Oguta/Egbema T/L @ Umunkwu-Oguta, Imo State",5.6476111,6.7503333,Oguta,la,IM,State
ph,SPDC,3/25/2020,cr,136,113,pl,sab,60,"28"" Nkpoku-Bomu pipeline @ Akpajo",4.8319444,7.0878056,Eleme,la,RI,State
ph,SPDC,2/26/2020,cr,864,723,pl,sab,61,"24""/36"" nkpoku-Bomu trans Niger pipeline right of way @atali in rivers state",4.8888889,7.0626667,Obio/Akpor,la,RI,State
ph,SPDC,2/22/2020,cr,904,10,pl,sab,62,14'' OKORDIA RUMUEKPE PIPELINE AT AKALAMINI IN AHOADA WEST RIVERS STATE.,5.11634,6.49227,Ahoada-West,"la,ss",RI,State
ph,SPDC,2/21/2020,cr,904,10,pl,sab,63,14'' OKORDIA RUMUEKPE PIPELINE AT AKALAMINI IN AHOADA WEST RIVERS STATE,5.11686,6.49151,Ahoada-West,"la,ss",RI,State
ph,SPDC,2/21/2020,cr,904,10,pl,sab,64,14'' OKORDIA RUMUEKPE PIPELINE AT AKALAMINI IN AHOADA WEST RIVERS STATE,5.11678,6.49161,Ahoada-West,"la,ss",RI,State
ph,SPDC,2/21/2020,cr,904,10,pl,sab,65,14'' OKORDIA RUMUEKPE PIPELINE AT AKALAMINI IN AHOADA WEST RIVERS STATE,5.11648,6.49207,Ahoada-West,"la,ss",RI,State
ph,SPDC,2/21/2020,cr,904,10,pl,sab,66,14'' OKORDIA RUMUEKPE PIPELINE AT AKALAMINI IN AHOADA WEST RIVERS STATE,5.11641,6.49216,Ahoada-West,"la,ss",RI,State
ph,Aiteo E&P,2/15/2020,cr,322,22,pl,sab,67,"30"" NCTL ROW-TOUMA PIPE LINE",4.5655556,6.9069556,Degema,sw,RI,State
wa,NDWEST,1/28/2020,cr,100,,other:illegal refinery,sab,68,10'' UTOROGU UPS DELIVERY LINE AT OTOR - EDO/ UGHEVWUGHE.,5.4869444,5.9038889,Ughelli-South,"sw,la",DE,State
wa,NDWEST,1/28/2020,cr,250,,other:illegal refinery,sab,69,10'' UTOROGU UPS DELIVERY LINE AT UGHEVWUGHE.,5.4866667,5.9016667,Ughelli-South,"la,sw",DE,State
wa,NDWEST,1/28/2020,cr,100,,other:illegal refinery,sab,70,10'' UTOROGU UPS DELIVERY LINE AT UGHEVWUGHE/ IWHREKREKAKAN.,5.4897222,5.9019444,Ughelli-South,"la,sw",DE,State
ph,Eroton E&P,1/25/2020,cr,2994,1576,wh,sab,71,Orubiri well 7s wellhead orubiri rivers state.,4.6550833,7.0709722,Okrika,,RI,State
ph,NAOC,1/21/2020,cr,369,110,pl,sab,72,24”OGODA/BRASS PIPELINE AT EMAGO-KUGBO @ RIVERS STATE,4.7077222,6.4244722,Ogbia,la,RI,State
ph,SPDC,1/20/2020,cr,247,25,pl,sab,73,20'' KOLOCREEK-RUMUEKPE PIPELINE (OLD) AT ODAU (KM10) RIVERS STATE.,4.92979,6.44671,Abua-Odual,"la,ss",RI,State
ph,SPDC,1/13/2020,cr,181,6,pl,sab,74,20'' KOLOCREEK -RUMUEKPE AT RUMUEKPE,4.98131,6.68196,Emuoha,"la,ss",RI,State
ph,SPDC,12/19/2019,cr,151,,pl,sab,75,"20"" Kolo Creek Truck Line ROW Okporowo",4.9711167,6.6424417,Ahoada-East,"sw,la",RI,State
wa,FIRST,12/9/2019,cr,100,75,pl,sab,76,KM 12 OGINI - ERIEMU 10'' DELIVERY LINE.,5.5515833,6.1779722,Isoko-North,la,DE,State
uy,MPN,11/21/2019,cr,126,,other: Treating Tank 674 Bund wall,ome,77,Treating Plant / Tank 674 Bund wall,4.5497908,8.0097067,Ibeno,of,AK,State
ph,Aiteo E&P,11/12/2019,cr,2003,132,pl,sab,78,30'' NCTL ROW AT CAWTHORNE CHANNEL 2 AXIS,4.579205,7.0208881,Degema,"sw,ss,iw",RI,State
wa,NDWEST,11/10/2019,cr,150,,other:Activities of illegal refinery.,sab,79,NPDC/ND WESTERN 10'' UTOROGU-UPS DELIVERY LINE AT OTOR-EDO.,5.4827222,5.9048056,Ughelli-South,sw,DE,State
